"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"671","GO:0002443",0.0186971486322293,0.985716168676839,126,468,"leukocyte mediated immunity","BP"
"7147","GO:0045893",0.0191884703441202,0.983592138626943,363,1689,"positive regulation of DNA-templated transcription","BP"
"2565","GO:0009966",0.0197710957004883,0.982516071748645,633,3034,"regulation of signal transduction","BP"
"6135","GO:0042110",0.0221803563262925,0.982475372382727,155,591,"T cell activation","BP"
"2177","GO:0008283",0.0228519447359691,0.980225112954838,404,1962,"cell population proliferation","BP"
"874","GO:0002768",0.0233922014053197,0.982480196122699,105,360,"immune response-regulating cell surface receptor signaling pathway","BP"
"7756","GO:0048519",0.0233935616646147,0.978867287661865,1014,5270,"negative regulation of biological process","BP"
"723","GO:0002521",0.0245985453826137,0.980333565568826,167,630,"leukocyte differentiation","BP"
"6136","GO:0042113",0.0246047174395644,0.982151194382817,85,283,"B cell activation","BP"
"6555","GO:0043368",0.0257762572416939,0.98723045186091,23,51,"positive T cell selection","BP"
"7177","GO:0045935",0.0262842490517015,0.97712344057543,423,2018,"positive regulation of nucleobase-containing compound metabolic process","BP"
"7755","GO:0048518",0.0282975093635951,0.97426750916404,1183,6166,"positive regulation of biological process","BP"
"898","GO:0002819",0.0284819623129493,0.980305721262407,60,218,"regulation of adaptive immune response","BP"
"8012","GO:0050776",0.0286002611642641,0.976153981299902,235,997,"regulation of immune response","BP"
"2567","GO:0009968",0.0286295664801147,0.975696073552038,286,1329,"negative regulation of signal transduction","BP"
"9864","GO:0070663",0.0295391609873058,0.978719175362768,75,267,"regulation of leukocyte proliferation","BP"
"4980","GO:0032944",0.0308194392709807,0.978037531806568,70,243,"regulation of mononuclear cell proliferation","BP"
"5474","GO:0034976",0.0316425217953755,0.976929831813943,79,279,"response to endoplasmic reticulum stress","BP"
"7787","GO:0048584",0.0321636571611404,0.971660300413232,484,2325,"positive regulation of response to stimulus","BP"
"7971","GO:0050670",0.0324688142466106,0.976896202939206,68,238,"regulation of lymphocyte proliferation","BP"
"5043","GO:0033077",0.0326481751027926,0.980804148542348,32,88,"T cell differentiation in thymus","BP"
"13005","GO:1903131",0.0331059731110561,0.973717090295182,143,525,"mononuclear cell differentiation","BP"
"8062","GO:0050863",0.0335529600672078,0.974340806692332,105,390,"regulation of T cell activation","BP"
"808","GO:0002684",0.0338569132233912,0.971342354981235,266,1118,"positive regulation of immune system process","BP"
"8021","GO:0050793",0.0339740703610767,0.969995503299769,490,2439,"regulation of developmental process","BP"
"8050","GO:0050851",0.0349998868354957,0.975129383405327,70,209,"antigen receptor-mediated signaling pathway","BP"
"7920","GO:0048856",0.0356091023060803,0.967553086549797,1071,5949,"anatomical structure development","BP"
"2543","GO:0009889",0.0361737693645622,0.967127555321775,954,5210,"regulation of biosynthetic process","BP"
"4145","GO:0030217",0.036240978464044,0.972745235116108,93,321,"T cell differentiation","BP"
"6862","GO:0045058",0.0363336087760299,0.979956557462243,27,64,"T cell selection","BP"
"7184","GO:0045944",0.037125865137436,0.968392460433696,269,1256,"positive regulation of transcription by RNA polymerase II","BP"
"6142","GO:0042127",0.0388585212596175,0.966323837501125,336,1656,"regulation of cell population proliferation","BP"
"4865","GO:0032743",0.0393461324277547,0.981991639228065,17,36,"positive regulation of interleukin-2 production","BP"
"824","GO:0002700",0.0397411580469558,0.97249166089569,54,194,"regulation of production of molecular mediator of immune response","BP"
"33","GO:0000122",0.0405035069909652,0.966157961753883,208,937,"negative regulation of transcription by RNA polymerase II","BP"
"901","GO:0002822",0.0408245265632542,0.971542784407277,55,203,"regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"2741","GO:0010646",0.0411542370378245,0.962934273005129,691,3469,"regulation of cell communication","BP"
"2706","GO:0010605",0.0412531404723791,0.963318839726823,515,2560,"negative regulation of macromolecule metabolic process","BP"
"4063","GO:0023051",0.0424337517981075,0.961761103983543,690,3461,"regulation of signaling","BP"
"1931","GO:0007159",0.0432941690624601,0.966244365715376,110,419,"leukocyte cell-cell adhesion","BP"
"2678","GO:0010556",0.0434797454581194,0.960393320208996,926,5037,"regulation of macromolecule biosynthetic process","BP"
"820","GO:0002696",0.0437097776420285,0.966353418957814,101,365,"positive regulation of leukocyte activation","BP"
"657","GO:0002429",0.044695306035503,0.965908163444285,95,329,"immune response-activating cell surface receptor signaling pathway","BP"
"4098","GO:0030097",0.0450266248277492,0.962001734265006,229,962,"hemopoiesis","BP"
"6967","GO:0045580",0.0456591762425407,0.96780002715169,59,190,"regulation of T cell differentiation","BP"
"12775","GO:1902531",0.0458191735960824,0.959618050812309,422,1941,"regulation of intracellular signal transduction","BP"
"2680","GO:0010558",0.0465446277046055,0.958842834081558,437,2167,"negative regulation of macromolecule biosynthetic process","BP"
"2653","GO:0010468",0.0465652139053983,0.957555929946047,906,4923,"regulation of gene expression","BP"
"6581","GO:0043405",0.0466569437438059,0.971191209475078,31,106,"regulation of MAP kinase activity","BP"
"4285","GO:0030879",0.046698020521352,0.969595317404166,38,136,"mammary gland development","BP"
"4740","GO:0032501",0.0469876659915256,0.956859942291267,1237,7350,"multicellular organismal process","BP"
"2544","GO:0009890",0.0488582355185457,0.95668990922789,447,2237,"negative regulation of biosynthetic process","BP"
"12776","GO:1902532",0.0504248200562477,0.958708842266436,155,667,"negative regulation of intracellular signal transduction","BP"
"15075","GO:2001242",0.0510630817851098,0.964412967848271,52,176,"regulation of intrinsic apoptotic signaling pathway","BP"
"12964","GO:1903037",0.0510737990535725,0.960262621906128,102,381,"regulation of leukocyte cell-cell adhesion","BP"
"2546","GO:0009892",0.0517638929466187,0.95358122990652,553,2780,"negative regulation of metabolic process","BP"
"8066","GO:0050867",0.0522229735828419,0.959242424851614,104,384,"positive regulation of cell activation","BP"
"1833","GO:0006955",0.0529020571546651,0.953043242929715,448,2117,"immune response","BP"
"2778","GO:0010720",0.0534073852128661,0.957766558445431,113,438,"positive regulation of cell development","BP"
"6452","GO:0043067",0.0537448353137471,0.953225147983232,314,1507,"regulation of programmed cell death","BP"
"7788","GO:0048585",0.0542197432888217,0.952498143645581,347,1690,"negative regulation of response to stimulus","BP"
"830","GO:0002706",0.0546815540450058,0.961689981628333,49,200,"regulation of lymphocyte mediated immunity","BP"
"2483","GO:0009628",0.0547364522639154,0.9533156310808,231,1144,"response to abiotic stimulus","BP"
"11181","GO:0097193",0.0548281272380456,0.958157452496748,86,317,"intrinsic apoptotic signaling pathway","BP"
"2547","GO:0009893",0.055392027890606,0.949805754998617,690,3518,"positive regulation of metabolic process","BP"
"8263","GO:0051251",0.0556502926731334,0.9571412857428,92,333,"positive regulation of lymphocyte activation","BP"
"8819","GO:0060284",0.0558600007839121,0.953308978835892,183,823,"regulation of cell development","BP"
"668","GO:0002440",0.0558728806820476,0.959445081885493,61,228,"production of molecular mediator of immune response","BP"
"900","GO:0002821",0.0560206886153553,0.962964724216956,38,135,"positive regulation of adaptive immune response","BP"
"6132","GO:0042100",0.0561660558937635,0.964866965018023,33,92,"B cell proliferation","BP"
"2545","GO:0009891",0.05759185387287,0.948332710709656,528,2666,"positive regulation of biosynthetic process","BP"
"8052","GO:0050853",0.0578228069117498,0.964876870446771,32,75,"B cell receptor signaling pathway","BP"
"7759","GO:0048522",0.0584790483481352,0.94623077204494,1111,5808,"positive regulation of cellular process","BP"
"15032","GO:2001141",0.0591039984047817,0.94648201005113,644,3452,"regulation of RNA biosynthetic process","BP"
"8087","GO:0050896",0.0598732942651812,0.944718762998013,1555,9004,"response to stimulus","BP"
"8014","GO:0050778",0.0604231892535691,0.949284453555814,190,785,"positive regulation of immune response","BP"
"871","GO:0002764",0.0608633616446222,0.950060388013046,151,581,"immune response-regulating signaling pathway","BP"
"6998","GO:0045619",0.062041548822384,0.954407514645469,65,222,"regulation of lymphocyte differentiation","BP"
"12823","GO:1902679",0.0621022965039945,0.946262264155907,269,1290,"negative regulation of RNA biosynthetic process","BP"
"7146","GO:0045892",0.0624711725299167,0.945950183961092,268,1280,"negative regulation of DNA-templated transcription","BP"
"1425","GO:0006351",0.0625789985355386,0.94320876741861,661,3565,"DNA-templated transcription","BP"
"6419","GO:0042981",0.0628622869488219,0.945168807260833,301,1468,"regulation of apoptotic process","BP"
"2705","GO:0010604",0.0637582377964766,0.942227932876516,637,3212,"positive regulation of macromolecule metabolic process","BP"
"4066","GO:0023057",0.063909464123001,0.944272469761023,298,1437,"negative regulation of signaling","BP"
"1429","GO:0006355",0.0639726572890411,0.941984250185847,641,3439,"regulation of DNA-templated transcription","BP"
"8184","GO:0051091",0.0646638775617706,0.954445241074121,47,193,"positive regulation of DNA-binding transcription factor activity","BP"
"778","GO:0002637",0.0647240277985619,0.961615867173649,24,77,"regulation of immunoglobulin production","BP"
"544","GO:0002253",0.0650353239607392,0.946426312061787,153,585,"activation of immune response","BP"
"5971","GO:0036503",0.0657313638809991,0.957029458539674,35,113,"ERAD pathway","BP"
"7737","GO:0048468",0.0673005044345131,0.939332562026935,536,2846,"cell development","BP"
"2743","GO:0010648",0.0675013737341798,0.941050989973845,297,1437,"negative regulation of cell communication","BP"
"2679","GO:0010557",0.067817520929895,0.939037691814447,506,2555,"positive regulation of macromolecule biosynthetic process","BP"
"6450","GO:0043065",0.0678555151773238,0.945120022709714,120,527,"positive regulation of apoptotic process","BP"
"5160","GO:0033554",0.0687659815548701,0.938988149673974,389,1852,"cellular response to stress","BP"
"8201","GO:0051128",0.0694497849142921,0.937553890707569,508,2453,"regulation of cellular component organization","BP"
"7176","GO:0045934",0.0696815480267473,0.93886046196729,316,1523,"negative regulation of nucleobase-containing compound metabolic process","BP"
"864","GO:0002757",0.070375080532301,0.942343650018022,141,522,"immune response-activating signaling pathway","BP"
"9820","GO:0070498",0.0703816104074107,0.967073109606221,14,31,"interleukin-1-mediated signaling pathway","BP"
"1431","GO:0006357",0.0716639945879583,0.935497542700348,499,2658,"regulation of transcription by RNA polymerase II","BP"
"4792","GO:0032637",0.0725607292630751,0.956014433910462,24,84,"interleukin-8 production","BP"
"4821","GO:0032677",0.0725607292630751,0.956014433910462,24,84,"regulation of interleukin-8 production","BP"
"11940","GO:0141187",0.0726311395830487,0.933439672478931,809,4416,"nucleic acid biosynthetic process","BP"
"8262","GO:0051250",0.0728645141726681,0.948579408510288,47,168,"negative regulation of lymphocyte activation","BP"
"4883","GO:0032774",0.0737913035267728,0.932405797033041,788,4307,"RNA biosynthetic process","BP"
"6863","GO:0045059",0.0739801370955731,0.975242065601766,9,15,"positive thymic T cell selection","BP"
"8185","GO:0051092",0.0753677399187295,0.950759605080127,31,119,"positive regulation of NF-kappaB transcription factor activity","BP"
"2244","GO:0009059",0.0756109635168698,0.930056281759834,1182,6638,"macromolecule biosynthetic process","BP"
"6283","GO:0042494",0.075624606337318,1,4,4,"detection of bacterial lipoprotein","BP"
"3282","GO:0015988",0.0759322922061633,1,4,4,"energy coupled proton transmembrane transport, against electrochemical gradient","BP"
"3283","GO:0015990",0.0759322922061633,1,4,4,"electron transport coupled proton transport","BP"
"14457","GO:2000026",0.0761426618910515,0.933461690655781,280,1403,"regulation of multicellular organismal development","BP"
"6453","GO:0043068",0.0762546373848688,0.937810031101744,123,542,"positive regulation of programmed cell death","BP"
"6999","GO:0045620",0.0766150230778145,0.956172504970936,20,62,"negative regulation of lymphocyte differentiation","BP"
"5814","GO:0035967",0.0767635244695486,0.948247606922444,39,116,"cellular response to topologically incorrect protein","BP"
"13627","GO:1904464",0.0769138723694994,0.990410732581352,5,6,"regulation of matrix metallopeptidase secretion","BP"
"14390","GO:1990773",0.0769138723694994,0.990410732581352,5,6,"matrix metallopeptidase secretion","BP"
"6978","GO:0045595",0.0778971821829246,0.931468469584769,309,1553,"regulation of cell differentiation","BP"
"8063","GO:0050864",0.0780345971972719,0.946576711243487,40,132,"regulation of B cell activation","BP"
"5444","GO:0034654",0.0783462016411537,0.927975198853793,856,4714,"nucleobase-containing compound biosynthetic process","BP"
"8203","GO:0051130",0.079503687662309,0.931055184204861,251,1114,"positive regulation of cellular component organization","BP"
"903","GO:0002824",0.079580510493958,0.946467970271505,35,129,"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"8265","GO:0051253",0.0796391335646112,0.930231438269842,287,1394,"negative regulation of RNA metabolic process","BP"
"8255","GO:0051239",0.0798052242948939,0.927655754058904,558,2941,"regulation of multicellular organismal process","BP"
"821","GO:0002697",0.0798083235479908,0.936797232932199,92,407,"regulation of immune effector process","BP"
"2566","GO:0009967",0.081172064897012,0.928331605025414,326,1551,"positive regulation of signal transduction","BP"
"10100","GO:0071363",0.0820671501461061,0.931707980638238,141,720,"cellular response to growth factor stimulus","BP"
"6131","GO:0042098",0.0823362023849826,0.939229237071386,57,213,"T cell proliferation","BP"
"9920","GO:0070887",0.0823502204852704,0.926257890716336,413,2188,"cellular response to chemical stimulus","BP"
"827","GO:0002703",0.0824066219628487,0.938296040947842,60,258,"regulation of leukocyte mediated immunity","BP"
"5047","GO:0033081",0.0825790027102876,0.961769643950499,13,28,"regulation of T cell differentiation in thymus","BP"
"1938","GO:0007166",0.0826187065401853,0.925159714477248,538,2800,"cell surface receptor signaling pathway","BP"
"831","GO:0002707",0.0827500421365052,0.951913537047715,20,65,"negative regulation of lymphocyte mediated immunity","BP"
"10739","GO:0080090",0.0838895561455122,0.92252277038629,983,5320,"regulation of primary metabolic process","BP"
"5431","GO:0034620",0.0841165952155458,0.944490568943505,34,100,"cellular response to unfolded protein","BP"
"6968","GO:0045581",0.0853802231272756,0.952956139478335,17,52,"negative regulation of T cell differentiation","BP"
"819","GO:0002695",0.0860268091628746,0.936918715110046,54,197,"negative regulation of leukocyte activation","BP"
"826","GO:0002702",0.0865756317425099,0.940544045304189,37,139,"positive regulation of production of molecular mediator of immune response","BP"
"9811","GO:0070482",0.0868921469168068,0.932022870392225,81,340,"response to oxygen levels","BP"
"862","GO:0002755",0.0874394905834121,0.965189670324681,9,20,"MyD88-dependent toll-like receptor signaling pathway","BP"
"8187","GO:0051094",0.0875600343872699,0.923386293278907,266,1321,"positive regulation of developmental process","BP"
"4741","GO:0032502",0.0879419524658521,0.918461125912182,1137,6513,"developmental process","BP"
"1438","GO:0006366",0.0879807528188155,0.920246753925161,524,2788,"transcription by RNA polymerase II","BP"
"2245","GO:0009060",0.089007184152515,0.936711254181203,41,198,"aerobic respiration","BP"
"12623","GO:1902115",0.0894058325515574,0.932510327708542,64,234,"regulation of organelle assembly","BP"
"5624","GO:0035556",0.0896944070317633,0.918290932532369,600,2952,"intracellular signal transduction","BP"
"10179","GO:0071495",0.0898793323333331,0.921678563298163,244,1252,"cellular response to endogenous stimulus","BP"
"2652","GO:0010467",0.0903161573897925,0.916272364039671,1095,6210,"gene expression","BP"
"2230","GO:0008631",0.0912700394192978,0.946198417482387,21,61,"intrinsic apoptotic signaling pathway in response to oxidative stress","BP"
"9905","GO:0070848",0.0917831612215502,0.922948389348621,147,751,"response to growth factor","BP"
"4049","GO:0022612",0.0929202126537555,0.937734151703672,31,126,"gland morphogenesis","BP"
"8900","GO:0060390",0.0931615288467134,0.945424398283391,19,66,"regulation of SMAD protein signal transduction","BP"
"6693","GO:0043923",0.0944061380470625,0.963906777937673,8,18,"positive regulation by host of viral transcription","BP"
"1849","GO:0006986",0.0947657108383956,0.932803437556338,44,144,"response to unfolded protein","BP"
"8065","GO:0050866",0.0950056922792042,0.928646184743011,60,219,"negative regulation of cell activation","BP"
"4982","GO:0032946",0.0968040185107102,0.93130577706019,43,147,"positive regulation of mononuclear cell proliferation","BP"
"2179","GO:0008285",0.0976298977392367,0.917913158219325,147,705,"negative regulation of cell population proliferation","BP"
"6865","GO:0045061",0.0977818449406933,0.955870063695974,12,24,"thymic T cell selection","BP"
"5908","GO:0036293",0.0978308528685612,0.923623570864336,75,315,"response to decreased oxygen levels","BP"
"12617","GO:1902105",0.0979650806170186,0.922458271701451,86,332,"regulation of leukocyte differentiation","BP"
"14256","GO:1905953",0.0980484650051016,0.947676710430602,14,47,"negative regulation of lipid localization","BP"
"10642","GO:0072538",0.0995121472234018,0.942642338050228,19,53,"T-helper 17 type immune response","BP"
"12474","GO:1901698",0.0996783229979237,0.913688544265496,207,1123,"response to nitrogen compound","BP"
"631","GO:0002377",0.0998265866116128,0.933642806116461,30,107,"immunoglobulin production","BP"
"5813","GO:0035966",0.100711636001428,0.926801220348128,49,162,"response to topologically incorrect protein","BP"
"3305","GO:0016070",0.101720614789056,0.906084563459622,819,4500,"RNA metabolic process","BP"
"8256","GO:0051240",0.10219014039559,0.909073071648178,324,1648,"positive regulation of multicellular organismal process","BP"
"2243","GO:0009058",0.102952673982848,0.904068874347539,1331,7652,"biosynthetic process","BP"
"9599","GO:0062099",0.103089139523546,0.959720354684012,8,18,"negative regulation of programmed necrotic cell death","BP"
"8264","GO:0051252",0.103218412573708,0.905175986431631,682,3701,"regulation of RNA metabolic process","BP"
"1317","GO:0006119",0.103397929693337,0.929674673504719,30,149,"oxidative phosphorylation","BP"
"234","GO:0001666",0.103488844437204,0.919437794556244,71,301,"response to hypoxia","BP"
"6556","GO:0043369",0.103493481648488,0.946434854593872,14,36,"CD4-positive or CD8-positive, alpha-beta T cell lineage commitment","BP"
"9866","GO:0070665",0.103499287468199,0.925042160232901,46,164,"positive regulation of leukocyte proliferation","BP"
"2443","GO:0009411",0.104456921822735,0.925755287306794,40,155,"response to UV","BP"
"4991","GO:0032964",0.104661431024834,0.941329948367812,17,47,"collagen biosynthetic process","BP"
"7972","GO:0050671",0.10556235222008,0.924999754076105,41,144,"positive regulation of lymphocyte proliferation","BP"
"2504","GO:0009719",0.105688698619217,0.906448718182335,286,1515,"response to endogenous stimulus","BP"
"6980","GO:0045597",0.106350864663952,0.908785579212647,180,858,"positive regulation of cell differentiation","BP"
"1948","GO:0007178",0.106361644455888,0.915613719498542,80,365,"cell surface receptor protein serine/threonine kinase signaling pathway","BP"
"4872","GO:0032757",0.108251779201362,0.936063641873326,18,64,"positive regulation of interleukin-8 production","BP"
"15076","GO:2001243",0.109280161608848,0.926778115326012,30,104,"negative regulation of intrinsic apoptotic signaling pathway","BP"
"12966","GO:1903039",0.109486847188053,0.914068475054787,77,281,"positive regulation of leukocyte cell-cell adhesion","BP"
"625","GO:0002369",0.109664646087527,0.940264701268871,16,40,"T cell cytokine production","BP"
"846","GO:0002724",0.109664646087527,0.940264701268871,16,40,"regulation of T cell cytokine production","BP"
"4184","GO:0030323",0.110140580147723,0.918972365605466,46,201,"respiratory tube development","BP"
"8700","GO:0060070",0.110394439907546,0.91378002375439,69,314,"canonical Wnt signaling pathway","BP"
"14610","GO:2000316",0.110496499199936,0.94088823131433,15,38,"regulation of T-helper 17 type immune response","BP"
"2005","GO:0007275",0.111552662990929,0.896718430232251,842,4701,"multicellular organism development","BP"
"623","GO:0002367",0.112013991944645,0.922188397949646,35,125,"cytokine production involved in immune response","BP"
"1502","GO:0006468",0.112266714693821,0.903005521968152,193,918,"protein phosphorylation","BP"
"9145","GO:0060759",0.112341267343927,0.916460966126737,53,178,"regulation of response to cytokine stimulus","BP"
"6582","GO:0043406",0.112351491516244,0.930917389840561,21,69,"positive regulation of MAP kinase activity","BP"
"13252","GO:1903706",0.113979364047087,0.906984206794647,102,424,"regulation of hemopoiesis","BP"
"6143","GO:0042129",0.114436558522489,0.915756286919941,47,180,"regulation of T cell proliferation","BP"
"9614","GO:0062207",0.114641374441601,0.914868482161576,51,180,"regulation of pattern recognition receptor signaling pathway","BP"
"8067","GO:0050868",0.115373567567696,0.919637508552635,34,132,"negative regulation of T cell activation","BP"
"468","GO:0002070",0.115695016183655,0.945509406932264,10,28,"epithelial cell maturation","BP"
"8800","GO:0060255",0.116787294532217,0.891250174207679,1060,5816,"regulation of macromolecule metabolic process","BP"
"11522","GO:0099515",0.117117533269408,0.971064524901461,5,8,"actin filament-based transport","BP"
"13268","GO:1903725",0.117380351816319,0.939696435989895,12,36,"regulation of phospholipid metabolic process","BP"
"2773","GO:0010715",0.117419624731978,0.956625263134633,7,15,"regulation of extracellular matrix disassembly","BP"
"11925","GO:0141091",0.117452305501401,0.907012083772024,74,344,"transforming growth factor beta receptor superfamily signaling pathway","BP"
"60","GO:0000302",0.117642568027366,0.912711244851111,48,192,"response to reactive oxygen species","BP"
"8903","GO:0060395",0.117873155540581,0.925358990687079,22,82,"SMAD protein signal transduction","BP"
"4038","GO:0022409",0.118371771529668,0.905159799879097,86,333,"positive regulation of cell-cell adhesion","BP"
"3554","GO:0019080",0.118494166749631,0.919653529163286,30,108,"viral gene expression","BP"
"4185","GO:0030324",0.118746016288956,0.912361055306116,45,197,"lung development","BP"
"351","GO:0001890",0.119071043274485,0.916193855668871,34,151,"placenta development","BP"
"6115","GO:0042026",0.119403697776643,0.945224984000695,9,27,"protein refolding","BP"
"9629","GO:0070059",0.119452441741543,0.925260105741397,23,66,"intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","BP"
"4219","GO:0030512",0.121191123802383,0.919841110830773,26,98,"negative regulation of transforming growth factor beta receptor signaling pathway","BP"
"9990","GO:0071072",0.122090014044643,0.983388978474364,4,5,"negative regulation of phospholipid biosynthetic process","BP"
"12372","GO:1901329",0.12246127027079,0.961241484598278,6,11,"regulation of odontoblast differentiation","BP"
"4108","GO:0030154",0.122775785565484,0.886304247758913,777,4410,"cell differentiation","BP"
"825","GO:0002701",0.122776344928528,0.932242904302046,14,45,"negative regulation of production of molecular mediator of immune response","BP"
"352","GO:0001892",0.122798048252218,0.921470753448885,22,87,"embryonic placenta development","BP"
"2094","GO:0007565",0.122842258390646,0.910020132476282,42,186,"female pregnancy","BP"
"7929","GO:0048869",0.122925085272062,0.886162681199544,777,4411,"cellular developmental process","BP"
"7064","GO:0045730",0.123095819942444,0.9366356819091,11,40,"respiratory burst","BP"
"13926","GO:1905098",0.123796071769242,0.983051860627032,4,5,"negative regulation of guanyl-nucleotide exchange factor activity","BP"
"5107","GO:0033280",0.123943750146787,0.934033729785257,13,38,"response to vitamin D","BP"
"7479","GO:0046637",0.124917300369174,0.918030863451991,27,80,"regulation of alpha-beta T cell differentiation","BP"
"6570","GO:0043383",0.125013098953444,0.955875835130675,7,13,"negative T cell selection","BP"
"12475","GO:1901699",0.125205129539691,0.894247466060303,132,685,"cellular response to nitrogen compound","BP"
"12965","GO:1903038",0.125244368334243,0.911280013857158,35,143,"negative regulation of leukocyte cell-cell adhesion","BP"
"6272","GO:0042475",0.125390292221596,0.919176100786332,22,94,"odontogenesis of dentin-containing tooth","BP"
"4309","GO:0030968",0.125504544161419,0.916281595556892,29,86,"endoplasmic reticulum unfolded protein response","BP"
"8557","GO:0051962",0.125531237611971,0.901973969482479,65,280,"positive regulation of nervous system development","BP"
"842","GO:0002718",0.12704303319612,0.910937860033874,34,124,"regulation of cytokine production involved in immune response","BP"
"12777","GO:1902533",0.127082680161313,0.888277755724383,234,1095,"positive regulation of intracellular signal transduction","BP"
"529","GO:0002224",0.12752480469293,0.916208475192089,27,79,"toll-like receptor signaling pathway","BP"
"12676","GO:1902253",0.127711132909594,0.935741680775752,11,32,"regulation of intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"4757","GO:0032570",0.128064891440294,0.930280567838656,13,43,"response to progesterone","BP"
"7672","GO:0048251",0.129046006610926,0.958469483390508,6,11,"elastic fiber assembly","BP"
"822","GO:0002698",0.12956606991894,0.908951443310453,33,133,"negative regulation of immune effector process","BP"
"5428","GO:0034612",0.129661264442901,0.899942005802523,61,226,"response to tumor necrosis factor","BP"
"848","GO:0002726",0.129775307236079,0.935123120919968,12,28,"positive regulation of T cell cytokine production","BP"
"11334","GO:0098609",0.129977425314173,0.886862462558353,194,975,"cell-cell adhesion","BP"
"4733","GO:0032493",0.130030415891394,0.966624442304168,5,8,"response to bacterial lipoprotein","BP"
"4036","GO:0022407",0.130265291221347,0.891194337848132,120,499,"regulation of cell-cell adhesion","BP"
"5059","GO:0033120",0.130744044757198,0.926663165023426,14,47,"positive regulation of RNA splicing","BP"
"5049","GO:0033083",0.131187486527998,0.954070522872327,6,13,"regulation of immature T cell proliferation","BP"
"5050","GO:0033084",0.131187486527998,0.954070522872327,6,13,"regulation of immature T cell proliferation in thymus","BP"
"5825","GO:0035990",0.131354965147576,1,3,3,"tendon cell differentiation","BP"
"5826","GO:0035992",0.131354965147576,1,3,3,"tendon formation","BP"
"1718","GO:0006754",0.13139303728138,0.913245706072278,24,99,"ATP biosynthetic process","BP"
"3389","GO:0016358",0.131824366089647,0.899052510391751,54,241,"dendrite development","BP"
"8884","GO:0060369",0.132157684365739,0.981364663320832,4,5,"positive regulation of Fc receptor mediated stimulatory signaling pathway","BP"
"6720","GO:0044093",0.132243857607182,0.885782701602363,174,823,"positive regulation of molecular function","BP"
"2958","GO:0012501",0.132934038410997,0.879587118413513,397,1994,"programmed cell death","BP"
"10850","GO:0090091",0.133217655088465,0.965498681704918,5,8,"positive regulation of extracellular matrix disassembly","BP"
"10593","GO:0072332",0.133268799677381,0.912337306715912,25,84,"intrinsic apoptotic signaling pathway by p53 class mediator","BP"
"8943","GO:0060443",0.133447585597805,0.924044913028834,15,46,"mammary gland morphogenesis","BP"
"8005","GO:0050769",0.13345969258297,0.89752668889284,56,229,"positive regulation of neurogenesis","BP"
"7792","GO:0048593",0.133532081521423,0.908430231168609,27,137,"camera-type eye morphogenesis","BP"
"6784","GO:0044706",0.133685772432855,0.899437973612299,47,215,"multi-multicellular organism process","BP"
